system,session,normalized_equity
ARMA,2024-05-10,1.1202974407773019
ARMA,2024-05-13,1.1238496501312032
ARMA,2024-05-14,1.1323405725564877
ARMA,2024-05-15,1.135116544483133
ARMA,2024-05-16,1.130818589568567
ARMA,2024-05-17,1.1377215643733705
ARMA,2024-05-20,1.119376278104933
ARMA,2024-05-21,1.1284293800357847
ARMA,2024-05-22,1.1235126654622354
ARMA,2024-05-23,1.1092201833883024
ARMA,2024-05-24,1.121304900277199
ARMA,2024-05-28,1.1220672580869424
ARMA,2024-05-29,1.1196132938564085
ARMA,2024-05-30,1.1177660035772758
ARMA,2024-05-31,1.1194784887923008
ARMA,2024-06-03,1.1252064243301527
ARMA,2024-06-04,1.1228207301949746
ARMA,2024-06-05,1.1260731048393398
ARMA,2024-06-06,1.1311733314136003
ARMA,2024-06-07,1.139720060215503
ARMA,2024-06-10,1.1385695223583596
ARMA,2024-06-11,1.1532637285447604
ARMA,2024-06-12,1.1573660354776103
ARMA,2024-06-13,1.1567831297204025
ARMA,2024-06-14,1.1535867849795511
ARMA,2024-06-17,1.1640859302400317
ARMA,2024-06-18,1.1610866990049733
ARMA,2024-06-20,1.1635301381354968
ARMA,2024-06-21,1.1616921617179476
ARMA,2024-06-24,1.1600806332527427
ARMA,2024-06-25,1.161833458770854
